item_code,on_hand_qty
31111660,0
31111671,0
31111683,0
31111695,0
31111701,0
31111750,2
31111762,6
31111774,0
31111786,0
31120015,0
31120015,0
31120039,0
31120039,18
31120052,0
31120064,0
31120076,11
31120088,28
31120090,0
31120106,0
31120118,0
31120120,0
31130148,0
31130148,0
31130161,0
31130215,0
31130227,0
31130239,17
31130240,17
31130252,14
31130318,22
31130331,14
31130343,47
31140257,0
31140348,611
31140361,0
31140488,0
31140520,0
31140531,0
31140543,0
31140660,0
31140660,0
31140701,10
31140713,2
31140725,0
31140737,3
31140749,0
31140750,0
31140762,4
31140786,10
31140816,1
31140828,6
31140830,7
31140841,0
31140853,0
31140865,12
31140877,230
31140890,0
31140890,0
31140919,6
31140920,2
31140932,2
31140944,4
31140956,1
31140968,0
31140968,0
31140970,2
31140970,0
31140981,0
31140981,0
31140993,0
31140993,14
31141006,0
31141043,0
31141043,0
31141055,0
31141055,0
31141067,1
31141067,0
31141079,0
31141079,0
31141080,0
31141092,4
31141109,3
31141109,0
31141110,0
31141122,0
31150020,0
31150032,0
31150068,0
31150111,0
31150111,2
31150147,8
31150159,11
31150160,0
31150160,14
31150172,0
31150172,8
31150263,71
31150305,0
31150305,2
31150317,14
31150329,0
31150330,0
31150342,1
31150378,0
31154335,7
31154347,7
31154359,8
31154360,2
31154463,3
31154475,0
31154487,0
31154499,0
31154505,0
31154517,0
31154529,0
31154530,0
31154542,6
31154554,0
31154566,4
31154578,10
31154580,2
31154591,8
31154610,17
31154694,0
31154761,0
31154773,0
31154785,0
31154797,4
31154797,0
31154839,0
31154840,0
31154852,0
31160086,0
31160086,0
31160104,0
31160116,4
31160128,6
31160130,0
31160130,1
31160141,0
31160141,0
31160153,0
31160153,0
31160165,0
31160190,0
31160311,1
31160360,0
31160360,0
31160505,0
31160542,0
31160578,4
31160580,0
31160633,23
31160682,0
31160694,0
31160700,17
31160712,0
31160724,38
31160773,0
31160803,0
31160815,0
31160827,0
31160839,0
31160852,33
31160906,0
31160918,0
31160920,0
31160931,3
31160943,0
31160943,0
31160955,3426.738
31160967,0
31161005,0
31161017,2
31161029,0
31161030,0
31167160,3373
31167172,9164
31167184,0
31167317,0
31167329,0
31167342,0
31167366,0
31167366,0
31167378,0
31167378,0
31167380,0
31167380,0
31167421,0
31167445,0
31167524,0
31167536,0
31167561,0
31167561,3
31167585,0
31167597,0
31167597,0
31167603,0
31167603,6
31167640,0
31167640,7
31167652,0
31167767,0
31167792,0
31167809,0
31167858,0
31210030,40
31210089,0
31210090,0
31210090,8
31210107,1
31210107,166
31210120,0
31210132,0
31210144,0
31210156,0
31210168,0
31210170,0
31210181,0
31210193,0
31210200,0
31210211,0
31210223,0
31222699,417
31222705,31
31222717,37
31222730,0
31222730,0
31222754,86
31227156,0
31247088,533
31247120,204
31247131,0
31247131,1047
31247143,0
31247155,0
31247167,31
31247179,3
31247180,1
31247180,450
31247192,29
31247209,12
31247210,0
31247222,0
31247222,0
31247234,0
31247246,1
31247258,0
31247260,0
31247271,0
31247271,0
31247301,0
31247301,0
31250002,32
31250002,180
31250014,128
31250026,67
31257136,2128
31257148,365
31257215,55
31257239,245
31257240,258
31257264,22
31257306,12
31257320,30
31257331,0
31257379,365
31257410,26
31257422,0
31257446,0
31257458,57
31257471,0
31257483,0
31257495,0
31257501,0
31257513,0
31257525,0
31257537,0
31257549,0
31257550,0
31257562,0
31257574,0
31257586,0
31257598,0
31257604,0
31257616,0
31257628,0
31257630,0
31257641,0
31257653,0
31257665,0
31257677,0
31257689,0
31257690,0
31257707,0
31257719,0
31257720,0
31257732,0
31257744,0
31257756,0
31257768,0
31257770,0
31257781,0
31257793,0
31257800,0
31257811,0
31257823,0
31257835,0
31257847,0
31257859,0
31257860,0
31257872,0
31257884,0
